Wilayah,Laju_Pertumbuhan_2024
ACEH,4.66
SUMATERA UTARA,5.03
SUMATERA BARAT,4.36
RIAU,3.52
JAMBI,4.51
SUMATERA SELATAN,5.03
BENGKULU,4.62
LAMPUNG,4.57
KEPULAUAN BANGKA BELITUNG,0.77
KEPULAUAN RIAU,5.02
DKI JAKARTA,4.9
JAWA BARAT,4.95
JAWA TENGAH,4.95
DI YOGYAKARTA,5.03
JAWA TIMUR,4.93
BANTEN,4.79
BALI,5.48
NUSA TENGGARA BARAT,5.3
NUSA TENGGARA TIMUR,3.73
KALIMANTAN BARAT,4.9
KALIMANTAN TENGAH,4.46
KALIMANTAN SELATAN,5.05
KALIMANTAN TIMUR,6.17
KALIMANTAN UTARA,4.57
SULAWESI UTARA,5.39
SULAWESI TENGAH,9.89
SULAWESI SELATAN,5.02
SULAWESI TENGGARA,5.4
GORONTALO,4.13
SULAWESI BARAT,4.76
MALUKU,5.34
MALUKU UTARA,13.73
PAPUA BARAT,20.8
PAPUA,4.11
