Wilayah,UHH_2019
ACEH,69.87
SUMATERA UTARA,68.95
SUMATERA BARAT,69.31
RIAU,71.48
JAMBI,71.06
SUMATERA SELATAN,69.65
BENGKULU,69.21
LAMPUNG,70.51
KEP. BANGKA BELITUNG,70.5
KEPULAUAN RIAU,69.8
DKI JAKARTA,72.79
JAWA BARAT,72.85
JAWA TENGAH,74.23
D I YOGYAKARTA,74.92
JAWA TIMUR,71.18
BANTEN,69.84
BALI,71.99
NUSA TENGGARA BARAT,66.28
NUSA TENGGARA TIMUR,66.85
KALIMANTAN BARAT,70.56
KALIMANTAN TENGAH,69.69
KALIMANTAN SELATAN,68.49
KALIMANTAN TIMUR,74.22
KALIMANTAN UTARA,72.54
SULAWESI UTARA,71.58
SULAWESI TENGAH,68.23
SULAWESI SELATAN,70.43
SULAWESI TENGGARA,70.97
GORONTALO,67.93
SULAWESI BARAT,64.82
MALUKU,65.82
MALUKU UTARA,68.18
PAPUA BARAT,65.9
PAPUA,65.65
