Provinsi,Tahun,HLS,PDRB_Growth,Pengeluaran,RLS,UHH
ACEH,2019,14.3,4.14,9603000,9.18,69.87
ACEH,2020,14.31,-0.37,9492000,9.33,69.93
ACEH,2021,14.36,2.81,9572000,9.37,69.96
ACEH,2022,14.37,4.21,9963000,9.44,70.18
ACEH,2023,14.38,4.23,10334000,9.55,70.34
ACEH,2024,14.39,4.66,10811000,9.64,70.44
BALI,2019,13.27,5.6,14146000,8.84,71.99
BALI,2020,13.33,-9.34,13929000,8.95,72.13
BALI,2021,13.4,-2.46,13820000,9.06,72.24
BALI,2022,13.48,4.84,13942000,9.39,72.6
BALI,2023,13.58,5.71,14382000,9.45,72.98
BALI,2024,13.62,5.48,14920000,9.54,73.29
BANTEN,2019,12.88,5.26,12267000,8.74,69.84
BANTEN,2020,12.89,-3.39,11964000,8.89,69.96
BANTEN,2021,13.02,4.49,12033000,8.93,70.02
BANTEN,2022,13.05,5.03,12216000,9.13,70.39
BANTEN,2023,13.09,4.81,12601000,9.15,70.77
BANTEN,2024,13.1,4.79,13097000,9.23,71.02
BENGKULU,2019,13.59,4.94,10409000,8.73,69.21
BENGKULU,2020,13.61,-0.02,10380000,8.84,69.35
BENGKULU,2021,13.67,3.27,10487000,8.87,69.42
BENGKULU,2022,13.68,4.31,10840000,8.91,69.69
BENGKULU,2023,13.74,4.28,11172000,9.03,69.92
BENGKULU,2024,13.75,4.62,11733000,9.04,70.13
DI YOGYAKARTA,2019,15.58,6.59,14394000,9.38,74.92
DI YOGYAKARTA,2020,15.59,-2.67,14015000,9.55,74.99
DI YOGYAKARTA,2021,15.64,5.58,14111000,9.64,75.04
DI YOGYAKARTA,2022,15.65,5.15,14482000,9.75,75.08
DI YOGYAKARTA,2023,15.66,5.07,14924000,9.83,75.12
DI YOGYAKARTA,2024,15.7,5.03,15361000,9.92,75.22
DKI JAKARTA,2019,12.97,5.82,18527000,11.06,72.79
DKI JAKARTA,2020,12.98,-2.39,18227000,11.13,72.91
DKI JAKARTA,2021,13.07,3.55,18520000,11.17,73.01
DKI JAKARTA,2022,13.08,5.25,18927000,11.31,73.32
DKI JAKARTA,2023,13.33,4.96,19373000,11.45,73.65
DKI JAKARTA,2024,13.51,4.9,19953000,11.49,73.87
GORONTALO,2019,13.06,6.4,10075000,7.69,67.93
GORONTALO,2020,13.08,-0.02,10020000,7.82,68.07
GORONTALO,2021,13.11,2.4,10157000,7.9,68.19
GORONTALO,2022,13.12,4.03,10687000,8.02,68.51
GORONTALO,2023,13.16,4.5,11069000,8.1,68.83
GORONTALO,2024,13.17,4.13,11539000,8.29,69.09
JAMBI,2019,12.93,4.35,10592000,8.45,71.06
JAMBI,2020,12.98,-0.51,10392000,8.55,71.16
JAMBI,2021,13.04,3.7,10588000,8.6,71.22
JAMBI,2022,13.05,5.12,10871000,8.68,71.5
JAMBI,2023,13.13,4.67,11160000,8.81,71.77
JAMBI,2024,13.14,4.51,11621000,8.9,72.04
JAWA BARAT,2019,12.48,5.02,11152000,8.37,72.85
JAWA BARAT,2020,12.5,-2.52,10845000,8.55,73.04
JAWA BARAT,2021,12.61,3.74,10934000,8.61,73.23
JAWA BARAT,2022,12.62,5.45,11277000,8.78,73.52
JAWA BARAT,2023,12.68,5,11695000,8.83,73.8
JAWA BARAT,2024,12.8,4.95,12157000,8.87,74.07
JAWA TENGAH,2019,12.68,5.36,11102000,7.53,74.23
JAWA TENGAH,2020,12.7,-2.65,10930000,7.69,74.37
JAWA TENGAH,2021,12.77,3.33,11034000,7.75,74.47
JAWA TENGAH,2022,12.81,5.31,11377000,7.93,74.57
JAWA TENGAH,2023,12.85,4.97,11835000,8.01,74.69
JAWA TENGAH,2024,12.86,4.95,12276000,8.02,74.93
JAWA TIMUR,2019,13.16,5.53,11739000,7.59,71.18
JAWA TIMUR,2020,13.19,-2.33,11601000,7.78,71.3
JAWA TIMUR,2021,13.36,3.56,11707000,7.88,71.38
JAWA TIMUR,2022,13.37,5.34,11992000,8.03,71.74
JAWA TIMUR,2023,13.38,4.95,12421000,8.11,72.11
JAWA TIMUR,2024,13.43,4.93,12852000,8.28,72.35
KALIMANTAN BARAT,2019,12.58,5.09,9055000,7.31,70.56
KALIMANTAN BARAT,2020,12.6,-1.82,8930000,7.37,70.69
KALIMANTAN BARAT,2021,12.65,4.8,8974000,7.45,70.76
KALIMANTAN BARAT,2022,12.66,5.07,9355000,7.59,71.02
KALIMANTAN BARAT,2023,12.67,4.46,9810000,7.71,71.32
KALIMANTAN BARAT,2024,12.68,4.9,10321000,7.78,71.55
KALIMANTAN SELATAN,2019,12.52,4.09,12253000,8.2,68.49
KALIMANTAN SELATAN,2020,12.68,-1.82,12032000,8.29,68.66
KALIMANTAN SELATAN,2021,12.81,3.48,12143000,8.34,68.83
KALIMANTAN SELATAN,2022,12.82,5.11,12469000,8.46,69.13
KALIMANTAN SELATAN,2023,12.86,4.84,12953000,8.55,69.42
KALIMANTAN SELATAN,2024,12.87,5.05,13399000,8.62,69.65
KALIMANTAN TENGAH,2019,12.57,6.12,11236000,8.51,69.69
KALIMANTAN TENGAH,2020,12.66,-1.41,11154000,8.59,69.74
KALIMANTAN TENGAH,2021,12.74,3.59,11182000,8.64,69.79
KALIMANTAN TENGAH,2022,12.75,6.45,11458000,8.65,70.04
KALIMANTAN TENGAH,2023,12.76,4.14,11878000,8.73,70.27
KALIMANTAN TENGAH,2024,12.77,4.46,12303000,8.81,70.43
KALIMANTAN TIMUR,2019,13.69,4.7,12359000,9.7,74.22
KALIMANTAN TIMUR,2020,13.72,-2.9,11728000,9.77,74.33
KALIMANTAN TIMUR,2021,13.81,2.55,12116000,9.84,74.61
KALIMANTAN TIMUR,2022,13.84,4.48,12641000,9.92,74.62
KALIMANTAN TIMUR,2023,14.02,6.22,13202000,9.99,74.72
KALIMANTAN TIMUR,2024,14.03,6.17,13793000,10.02,75.03
KALIMANTAN UTARA,2019,12.84,6.89,9343000,8.94,72.54
KALIMANTAN UTARA,2020,12.93,-1.09,8756000,9,72.59
KALIMANTAN UTARA,2021,12.94,3.99,9075000,9.11,72.65
KALIMANTAN UTARA,2022,13.06,5.32,9350000,9.27,72.67
KALIMANTAN UTARA,2023,13.2,4.94,9734000,9.34,72.69
KALIMANTAN UTARA,2024,13.21,4.57,10197000,9.35,72.73
KEPULAUAN BANGKA BELITUNG,2019,11.94,3.32,12959000,7.98,70.5
KEPULAUAN BANGKA BELITUNG,2020,12.05,-2.29,12794000,8.06,70.64
KEPULAUAN BANGKA BELITUNG,2021,12.17,5.05,12819000,8.08,70.73
KEPULAUAN BANGKA BELITUNG,2022,12.18,4.4,13358000,8.11,70.98
KEPULAUAN BANGKA BELITUNG,2023,12.31,4.38,13589000,8.25,71.23
KEPULAUAN BANGKA BELITUNG,2024,12.49,0.77,13667000,8.33,71.49
KEPULAUAN RIAU,2019,12.83,4.83,14466000,9.99,69.8
KEPULAUAN RIAU,2020,12.87,-3.8,14209000,10.12,69.96
KEPULAUAN RIAU,2021,12.98,3.43,14122000,10.18,70.12
KEPULAUAN RIAU,2022,12.99,5.06,14469000,10.37,70.5
KEPULAUAN RIAU,2023,13.05,5.16,14998000,10.41,70.91
KEPULAUAN RIAU,2024,13.27,5.02,15573000,10.5,71.24
LAMPUNG,2019,12.63,5.26,10114000,7.92,70.51
LAMPUNG,2020,12.65,-1.66,9982000,8.05,70.65
LAMPUNG,2021,12.73,2.77,10038000,8.08,70.73
LAMPUNG,2022,12.74,4.28,10336000,8.18,70.99
LAMPUNG,2023,12.77,4.55,10769000,8.29,71.25
LAMPUNG,2024,12.78,4.57,11258000,8.36,71.5
MALUKU,2019,13.94,5.41,8887000,9.81,65.82
MALUKU,2020,13.96,-0.91,8732000,9.93,65.98
MALUKU,2021,13.97,3.63,8770000,10.03,66.09
MALUKU,2022,14,5.31,8876000,10.19,66.45
MALUKU,2023,14.08,5.21,9278000,10.2,66.78
MALUKU,2024,14.09,5.34,9684000,10.26,66.99
MALUKU UTARA,2019,13.63,6.25,8308000,9,68.18
MALUKU UTARA,2020,13.67,5.39,8032000,9.04,68.33
MALUKU UTARA,2021,13.68,16.79,8140000,9.09,68.45
MALUKU UTARA,2022,13.73,22.94,8398000,9.24,68.79
MALUKU UTARA,2023,13.74,20.49,8834000,9.26,69.11
MALUKU UTARA,2024,13.75,13.73,9320000,9.37,69.35
NUSA TENGGARA BARAT,2019,13.48,3.9,10640000,7.27,66.28
NUSA TENGGARA BARAT,2020,13.7,-0.62,10351000,7.31,66.51
NUSA TENGGARA BARAT,2021,13.9,2.3,10377000,7.38,66.69
NUSA TENGGARA BARAT,2022,13.96,6.95,10681000,7.61,67.07
NUSA TENGGARA BARAT,2023,13.97,1.8,11095000,7.74,67.47
NUSA TENGGARA BARAT,2024,13.98,5.3,11606000,7.87,67.73
NUSA TENGGARA TIMUR,2019,13.15,5.25,7769000,7.55,66.85
NUSA TENGGARA TIMUR,2020,13.18,-0.84,7598000,7.63,67.01
NUSA TENGGARA TIMUR,2021,13.2,2.52,7554000,7.69,67.15
