Provinsi/Kabupaten/Kota;Harapan Lama Sekolah 2021 (Tahun)
ACEH;14.36
Simeulue;13.9
Aceh Singkil;14.32
Aceh Selatan;14.6
Aceh Tenggara;14.01
Aceh Timur;13.04
Aceh Tengah;14.28
Aceh Barat;14.61
Aceh Besar;14.73
Pidie;14.47
Bireuen;14.84
Aceh Utara;14.71
Aceh Barat Daya;13.65
Gayo Lues;13.78
Aceh Tamiang;13.76
Nagan Raya;14.14
Aceh Jaya;13.99
Bener Meriah;13.47
Pidie Jaya;14.97
Kota Banda Aceh;17.8
Kota Sabang;14.13
Kota Langsa;15.63
Kota Lhokseumawe;15.21
Kota Subulussalam;14.62
SUMATERA UTARA;13.27
Nias;12.84
Mandailing Natal;13.61
Tapanuli Selatan;13.35
Tapanuli Tengah;13.07
Tapanuli Utara;13.7
Toba Samosir / Toba;13.46
Labuhan Batu;12.74
Asahan;12.61
Simalungun;12.79
Dairi;13.11
Karo;12.77
Deli Serdang;13.36
Langkat;13.24
Nias Selatan;12.27
Humbang Hasundutan;13.29
Pakpak Bharat;13.87
Samosir;13.48
Serdang Bedagai;12.61
Batu Bara;12.64
Padang Lawas Utara;13.04
Padang Lawas;13.27
Labuhan Batu Selatan;13.01
Labuhan Batu Utara;13.19
Nias Utara;13.04
Nias Barat;12.95
Kota Sibolga;13.28
Kota Tanjung Balai;12.62
Kota Pematang Siantar;14.57
Kota Tebing Tinggi;12.73
Kota Medan;14.75
Kota Binjai;13.63
Kota Padangsidimpuan;14.56
Kota Gunungsitoli;13.75
SUMATERA BARAT;14.09
Kepulauan Mentawai;12.89
Pesisir Selatan;13.33
Solok;13.05
Sijunjung;12.38
Tanah Datar;14.34
Padang Pariaman;13.68
Agam;13.88
Lima Puluh Kota;13.3
Pasaman;12.81
Solok Selatan;12.72
Dharmasraya;12.44
Pasaman Barat;13.68
Kota Padang;16.53
Kota Solok;14.33
Kota Sawah Lunto;13.18
Kota Padang Panjang;15.07
Kota Bukittinggi;14.98
Kota Payakumbuh;14.27
Kota Pariaman;14.55
RIAU;13.28
Kuantan Singingi;13.34
Indragiri Hulu;12.46
Indragiri Hilir;11.93
Pelalawan;12.41
Siak;12.81
Kampar;13.55
Rokan Hulu;12.85
Bengkalis;12.88
Rokan Hilir;12.76
Kepulauan Meranti;12.83
Kota Pekanbaru;15.55
Kota Dumai;13.31
JAMBI;13.04
Kerinci;13.88
Merangin;12.04
Sarolangun;12.28
Batang Hari;12.93
Muaro Jambi;12.84
Tanjung Jabung Timur;12.17
Tanjung Jabung Barat;12.63
Tebo;12.64
Bungo;12.63
Kota Jambi;15.37
Kota Sungai Penuh;14.8
SUMATERA SELATAN;12.54
Ogan Komering Ulu;12.83
Ogan Komering Ilir;11.68
Muara Enim;11.98
Lahat;12.35
Musi Rawas;12.19
Musi Banyuasin;12.29
Banyu Asin;11.77
Ogan Komering Ulu Selatan;11.76
Ogan Komering Ulu Timur;12.45
Ogan Ilir;12.31
Empat Lawang;12.07
Penukal Abab Lematang Ilir;12.17
Musi Rawas Utara;11.58
Kota Palembang;14.42
Kota Prabumulih;12.92
Kota Pagar Alam;13.05
Kota Lubuklinggau;13.38
BENGKULU;13.67
Bengkulu Selatan;13.62
Rejang Lebong;13.93
Bengkulu Utara;12.88
Kaur;13.06
Seluma;13.29
Mukomuko;12.74
Lebong;12.58
Kepahiang;13.12
Bengkulu Tengah;13.28
Kota Bengkulu;16.03
LAMPUNG;12.73
Lampung Barat;12.26
Tanggamus;12.19
Lampung Selatan;12.52
Lampung Timur;12.86
Lampung Tengah;12.93
Lampung Utara;12.49
Way Kanan;12.37
Tulangbawang;11.95
Pesawaran;12.59
Pringsewu;12.84
Mesuji;11.64
Tulang Bawang Barat;12.06
Pesisir Barat;12
Kota Bandar Lampung;14.7
Kota Metro;14.75
KEP. BANGKA BELITUNG;12.17
Bangka;12.78
Belitung;11.86
Bangka Barat;11.7
Bangka Tengah;12.1
Bangka Selatan;11.38
Belitung Timur;11.63
Kota Pangkal Pinang;13.16
KEPULAUAN RIAU;12.98
Karimun;12.57
Bintan;13.26
Natuna;13.91
Lingga;12.59
Kepulauan Anambas;12.88
Kota Batam;13.17
Kota Tanjung Pinang;14.13
DKI JAKARTA;13.07
Kep. Seribu;12.63
Kota Jakarta Selatan;13.34
Kota Jakarta Timur;13.96
Kota Jakarta Pusat;13.26
Kota Jakarta Barat;12.81
Kota Jakarta Utara;12.64
JAWA BARAT;12.61
Bogor;12.49
Sukabumi;12.24
Cianjur;12
Bandung;12.7
Garut;12.03
Tasikmalaya;12.54
Ciamis;14.2
Kuningan;12.23
Cirebon;12.27
Majalengka;12.23
Sumedang;12.98
Indramayu;12.26
Subang;11.71
Purwakarta;12.12
Karawang;12.1
Bekasi;13.1
