Provinsi/Kabupaten/Kota;Umur Harapan Hidup Saat Lahir 2021 (Tahun)
ACEH;69.96
Simeulue;65.28
Aceh Singkil;67.43
Aceh Selatan;64.4
Aceh Tenggara;68.22
Aceh Timur;68.74
Aceh Tengah;68.86
Aceh Barat;67.99
Aceh Besar;69.79
Pidie;66.95
Bireuen;71.26
Aceh Utara;68.81
Aceh Barat Daya;65.06
Gayo Lues;65.53
Aceh Tamiang;69.63
Nagan Raya;69.24
Aceh Jaya;67.19
Bener Meriah;69.26
Pidie Jaya;70.18
Kota Banda Aceh;71.52
Kota Sabang;70.56
Kota Langsa;69.43
Kota Lhokseumawe;71.64
Kota Subulussalam;64.07
SUMATERA UTARA;69.23
Nias;69.78
Mandailing Natal;62.65
Tapanuli Selatan;64.97
Tapanuli Tengah;67.24
Tapanuli Utara;68.76
Toba Samosir / Toba;70.29
Labuhan Batu;69.95
Asahan;68.37
Simalungun;71.37
Dairi;69.19
Karo;71.58
Deli Serdang;71.77
Langkat;68.97
Nias Selatan;68.86
Humbang Hasundutan;69.51
Pakpak Bharat;65.96
Samosir;71.41
Serdang Bedagai;68.82
Batu Bara;67.13
Padang Lawas Utara;67.22
Padang Lawas;67.13
Labuhan Batu Selatan;68.81
Labuhan Batu Utara;69.56
Nias Utara;69.55
Nias Barat;69.08
Kota Sibolga;69.25
Kota Tanjung Balai;63.44
Kota Pematang Siantar;73.77
Kota Tebing Tinggi;70.95
Kota Medan;73.23
Kota Binjai;72.45
Kota Padangsidimpuan;69.5
Kota Gunungsitoli;71.32
SUMATERA BARAT;69.59
Kepulauan Mentawai;64.73
Pesisir Selatan;70.96
Solok;68.79
Sijunjung;66.36
Tanah Datar;70.12
Padang Pariaman;68.97
Agam;72.53
Lima Puluh Kota;69.84
Pasaman;67.59
Solok Selatan;68.01
Dharmasraya;71.53
Pasaman Barat;67.94
Kota Padang;73.69
Kota Solok;73.73
Kota Sawah Lunto;70.1
Kota Padang Panjang;72.82
Kota Bukittinggi;74.5
Kota Payakumbuh;73.84
Kota Pariaman;70.38
RIAU;71.67
