Provinsi/Kabupaten/Kota;Umur Harapan Hidup Saat Lahir 2020 (Tahun)
ACEH;69.93
Simeulue;65.26
Aceh Singkil;67.39
Aceh Selatan;64.35
Aceh Tenggara;68.14
Aceh Timur;68.72
Aceh Tengah;68.85
Aceh Barat;67.98
Aceh Besar;69.78
Pidie;66.94
Bireuen;71.22
Aceh Utara;68.8
Aceh Barat Daya;65
Gayo Lues;65.47
Aceh Tamiang;69.58
Nagan Raya;69.22
Aceh Jaya;67.16
Bener Meriah;69.22
Pidie Jaya;70.14
Kota Banda Aceh;71.45
Kota Sabang;70.51
Kota Langsa;69.42
Kota Lhokseumawe;71.6
Kota Subulussalam;64.02
SUMATERA UTARA;69.1
Nias;69.75
Mandailing Natal;62.6
Tapanuli Selatan;64.91
Tapanuli Tengah;67.15
Tapanuli Utara;68.63
Toba Samosir / Toba;70.08
Labuhan Batu;69.93
Asahan;68.26
Simalungun;71.22
Dairi;69
Karo;71.4
Deli Serdang;71.73
Langkat;68.8
Nias Selatan;68.74
Humbang Hasundutan;69.27
Pakpak Bharat;65.74
Samosir;71.27
Serdang Bedagai;68.68
Batu Bara;66.96
Padang Lawas Utara;67.17
Padang Lawas;67.09
Labuhan Batu Selatan;68.71
Labuhan Batu Utara;69.46
Nias Utara;69.43
Nias Barat;68.96
Kota Sibolga;69.01
Kota Tanjung Balai;63.27
Kota Pematang Siantar;73.55
Kota Tebing Tinggi;70.87
Kota Medan;73.14
Kota Binjai;72.38
Kota Padangsidimpuan;69.41
Kota Gunungsitoli;71.19
SUMATERA BARAT;69.47
Kepulauan Mentawai;64.73
Pesisir Selatan;70.86
Solok;68.58
Sijunjung;66.21
Tanah Datar;69.94
Padang Pariaman;68.79
Agam;72.37
Lima Puluh Kota;69.79
Pasaman;67.4
Solok Selatan;67.81
Dharmasraya;71.33
Pasaman Barat;67.82
Kota Padang;73.65
Kota Solok;73.61
Kota Sawah Lunto;70
Kota Padang Panjang;72.82
Kota Bukittinggi;74.38
Kota Payakumbuh;73.74
Kota Pariaman;70.28
RIAU;71.6
Kuantan Singingi;68.55
Indragiri Hulu;70.25
Indragiri Hilir;67.85
Pelalawan;71.16
Siak;71.11
Kampar;70.76
Rokan Hulu;70.06
Bengkalis;71.2
Rokan Hilir;70.3
Kepulauan Meranti;67.68
Kota Pekanbaru;72.34
Kota Dumai;70.93
JAMBI;71.16
Kerinci;69.93
Merangin;71.26
Sarolangun;69.17
Batang Hari;70.56
Muaro Jambi;71.27
Tanjung Jabung Timur;66.23
Tanjung Jabung Barat;68.12
Tebo;69.99
Bungo;67.74
Kota Jambi;72.65
Kota Sungai Penuh;72.11
SUMATERA SELATAN;69.88
Ogan Komering Ulu;68.2
Ogan Komering Ilir;68.61
Muara Enim;68.9
Lahat;66.04
Musi Rawas;68.14
Musi Banyuasin;68.75
Banyu Asin;68.97
Ogan Komering Ulu Selatan;67.04
Ogan Komering Ulu Timur;69.1
Ogan Ilir;65.48
Empat Lawang;65.08
Penukal Abab Lematang Ilir;68.27
Musi Rawas Utara;65.68
Kota Palembang;70.79
Kota Prabumulih;70.32
Kota Pagar Alam;66.71
Kota Lubuklinggau;69.25
BENGKULU;69.35
Bengkulu Selatan;67.9
Rejang Lebong;68.57
Bengkulu Utara;68.19
Kaur;66.63
Seluma;67.75
Mukomuko;66.64
Lebong;63.29
Kepahiang;67.95
Bengkulu Tengah;68.19
