Provinsi/Kabupaten/Kota,
,[Metode Baru] Harapan Lama Sekolah (Tahun)
,2020
ACEH,14.31
Simeulue,13.76
Aceh Singkil,14.31
Aceh Selatan,14.42
Aceh Tenggara,14
Aceh Timur,13.03
Aceh Tengah,14.27
Aceh Barat,14.6
Aceh Besar,14.72
Pidie,14.46
Bireuen,14.83
Aceh Utara,14.7
Aceh Barat Daya,13.58
Gayo Lues,13.77
Aceh Tamiang,13.59
Nagan Raya,14.13
Aceh Jaya,13.98
Bener Meriah,13.46
Pidie Jaya,14.82
Kota Banda Aceh,17.79
Kota Sabang,13.95
Kota Langsa,15.35
Kota Lhokseumawe,15.2
Kota Subulussalam,14.61
SUMATERA UTARA,13.23
Nias,12.57
Mandailing Natal,13.32
Tapanuli Selatan,13.24
Tapanuli Tengah,13.06
Tapanuli Utara,13.69
Toba Samosir / Toba,13.45
Labuhan Batu,12.73
Asahan,12.6
Simalungun,12.78
Dairi,13.1
Karo,12.76
Deli Serdang,13.35
Langkat,13.05
Nias Selatan,12.23
Humbang Hasundutan,13.28
Pakpak Bharat,13.86
Samosir,13.47
Serdang Bedagai,12.6
Batu Bara,12.63
Padang Lawas Utara,12.87
Padang Lawas,13.03
Labuhan Batu Selatan,13
Labuhan Batu Utara,13.04
Nias Utara,13.03
Nias Barat,12.94
Kota Sibolga,13.16
Kota Tanjung Balai,12.5
Kota Pematang Siantar,14.45
Kota Tebing Tinggi,12.72
Kota Medan,14.74
Kota Binjai,13.62
Kota Padangsidimpuan,14.54
Kota Gunungsitoli,13.74
SUMATERA BARAT,14.02
Kepulauan Mentawai,12.82
Pesisir Selatan,13.32
Solok,13.04
Sijunjung,12.37
Tanah Datar,14.33
Padang Pariaman,13.67
Agam,13.87
Lima Puluh Kota,13.29
Pasaman,12.8
Solok Selatan,12.71
Dharmasraya,12.43
Pasaman Barat,13.61
Kota Padang,16.52
Kota Solok,14.32
Kota Sawah Lunto,13.17
Kota Padang Panjang,15.06
Kota Bukittinggi,14.97
Kota Payakumbuh,14.26
Kota Pariaman,14.54
RIAU,13.2
Kuantan Singingi,13.33
Indragiri Hulu,12.36
Indragiri Hilir,11.91
Pelalawan,12.24
Siak,12.76
Kampar,13.46
Rokan Hulu,12.84
Bengkalis,12.87
Rokan Hilir,12.68
Kepulauan Meranti,12.82
Kota Pekanbaru,15.54
Kota Dumai,13.12
JAMBI,12.98
Kerinci,13.87
Merangin,11.99
Sarolangun,12.27
Batang Hari,12.92
Muaro Jambi,12.83
Tanjung Jabung Timur,12.16
Tanjung Jabung Barat,12.62
Tebo,12.6
Bungo,12.62
Kota Jambi,15.1
Kota Sungai Penuh,14.79
SUMATERA SELATAN,12.45
Ogan Komering Ulu,12.6
Ogan Komering Ilir,11.42
Muara Enim,11.97
Lahat,12.34
Musi Rawas,12.08
Musi Banyuasin,12
Banyu Asin,11.75
Ogan Komering Ulu Selatan,11.75
Ogan Komering Ulu Timur,12.23
Ogan Ilir,12.3
Empat Lawang,12.06
Penukal Abab Lematang Ilir,12.05
Musi Rawas Utara,11.57
Kota Palembang,14.41
Kota Prabumulih,12.91
Kota Pagar Alam,12.85
Kota Lubuklinggau,13.37
BENGKULU,13.61
Bengkulu Selatan,13.61
Rejang Lebong,13.83
Bengkulu Utara,12.87
Kaur,12.99
Seluma,13.28
Mukomuko,12.73
Lebong,12.57
Kepahiang,12.9
Bengkulu Tengah,13.03
Kota Bengkulu,16.02
LAMPUNG,12.65
Lampung Barat,12.25
Tanggamus,12.18
Lampung Selatan,12.5
Lampung Timur,12.85
Lampung Tengah,12.92
Lampung Utara,12.48
Way Kanan,12.36
Tulangbawang,11.89
Pesawaran,12.36
Pringsewu,12.83
Mesuji,11.63
Tulang Bawang Barat,12.05
Pesisir Barat,11.99
Kota Bandar Lampung,14.64
Kota Metro,14.47
KEP. BANGKA BELITUNG,12.05
Bangka,12.77
Belitung,11.85
Bangka Barat,11.53
Bangka Tengah,11.81
Bangka Selatan,11.37
Belitung Timur,11.52
Kota Pangkal Pinang,13.15
KEPULAUAN RIAU,12.87
Karimun,12.42
Bintan,13.1
Natuna,13.9
Lingga,12.45
Kepulauan Anambas,12.81
Kota Batam,13.16
Kota Tanjung Pinang,14.12
DKI JAKARTA,12.98
Kep. Seribu,12.57
Kota Jakarta Selatan,13.33
Kota Jakarta Timur,13.86
Kota Jakarta Pusat,13.25
Kota Jakarta Barat,12.8
Kota Jakarta Utara,12.63
JAWA BARAT,12.5
Bogor,12.48
Sukabumi,12.23
Cianjur,11.99
Bandung,12.69
Garut,11.91
Tasikmalaya,12.53
Ciamis,14.06
Kuningan,12.22
Cirebon,12.25
Majalengka,12.22
Sumedang,12.97
Indramayu,12.25
Subang,11.7
Purwakarta,12.11
Karawang,12.09
Bekasi,13.09
Bandung Barat,11.87
Pangandaran,12.07
Kota Bogor,13.41
Kota Sukabumi,13.47
Kota Bandung,14.2
Kota Cirebon,13.12
Kota Bekasi,14
Kota Depok,13.92
Kota Cimahi,13.8
Kota Tasikmalaya,13.45
Kota Banjar,13.23
JAWA TENGAH,12.7
Cilacap,12.5
Banyumas,12.85
Purbalingga,11.99
Banjarnegara,11.46
Kebumen,13.34
Purworejo,13.5
Wonosobo,11.75
Magelang,12.54
Boyolali,12.56
Klaten,13.25
Sukoharjo,13.83
Wonogiri,12.49
Karanganyar,13.68
Sragen,12.83
Grobogan,12.3
Blora,12.2
Rembang,12.11
Pati,12.65
Kudus,13.23
Jepara,12.75
Demak,13.31
Semarang,12.97
Temanggung,12.14
Kendal,12.95
Batang,12.01
Pekalongan,12.41
Pemalang,11.95
Tegal,12.67
Brebes,12.04
Kota Magelang,14.14
Kota Surakarta,14.87
Kota Salatiga,15.41
Kota Semarang,15.52
Kota Pekalongan,12.84
Kota Tegal,13.05
D I YOGYAKARTA,15.59
Kulon Progo,14.26
Bantul,15.17
Gunung Kidul,12.97
Sleman,16.73
Kota Yogyakarta,17.43
JAWA TIMUR,13.19
Pacitan,12.64
Ponorogo,13.73
Trenggalek,12.35
Tulungagung,13.31
Blitar,12.46
Kediri,13.15
Malang,13.18
Lumajang,11.81
Jember,13.42
Banyuwangi,12.8
Bondowoso,13.28
Situbondo,13.15
Probolinggo,12.35
Pasuruan,12.41
Sidoarjo,14.93
Mojokerto,12.88
Jombang,13.27
Nganjuk,12.86
Madiun,13.16
Magetan,14.03
Ngawi,12.7
Bojonegoro,12.39
Tuban,12.21
Lamongan,13.48
Gresik,13.73
Bangkalan,11.6
Sampang,12.37
Pamekasan,13.64
Sumenep,13.2
Kota Kediri,15.26
Kota Blitar,14.32
Kota Malang,15.51
Kota Probolinggo,13.59
Kota Pasuruan,13.62
Kota Mojokerto,14
Kota Madiun,14.4
Kota Surabaya,14.8
Kota Batu,14.13
BANTEN,12.89
Pandeglang,13.47
Lebak,11.97
Tangerang,12.82
Serang,12.57
Kota Tangerang,13.85
Kota Cilegon,13.16
Kota Serang,12.78
Kota Tangerang Selatan,14.47
BALI,13.33
Jembrana,12.65
Tabanan,13
Badung,13.98
Gianyar,13.89
Klungkung,12.99
Bangli,12.34
Karangasem,12.41
Buleleng,13.07
Kota Denpasar,14
NUSA TENGGARA BARAT,13.7
Lombok Barat,13.71
Lombok Tengah,13.67
Lombok Timur,13.69
Sumbawa,13.06
Dompu,13.32
Bima,13.29
Sumbawa Barat,13.62
Lombok Utara,12.72
Kota Mataram,15.59
Kota Bima,15
NUSA TENGGARA TIMUR,13.18
Sumba Barat,13.11
Sumba Timur,12.82
Kupang,13.85
Timor Tengah Selatan,12.57
Timor Tengah Utara,13.31
Belu,12.27
Alor,12.23
Lembata,12.42
Flores Timur,12.91
Sikka,13.16
Ende,13.78
Ngada,12.7
Manggarai,13.41
Rote Ndao,13.18
Manggarai Barat,12.28
Sumba Tengah,12.96
Sumba Barat Daya,13.06
Nagekeo,12.48
Manggarai Timur,11.99
Sabu Raijua,13.14
Malaka,12.78
Kota Kupang,16.4
KALIMANTAN BARAT,12.6
Sambas,12.61
Bengkayang,12.09
Landak,12.4
Mempawah,12.39
Sanggau,11.57
Ketapang,11.8
Sintang,12.03
Kapuas Hulu,12.05
Sekadau,11.88
Melawi,11.16
Kayong Utara,11.82
Kubu Raya,13.82
Kota Pontianak,15
Kota Singkawang,12.9
KALIMANTAN TENGAH,12.66
Kotawaringin Barat,12.72
Kotawaringin Timur,12.84
Kapuas,12.92
Barito Selatan,12.55
Barito Utara,12.49
Sukamara,12.12
Lamandau,12.48
Seruyan,11.99
Katingan,12.67
Pulang Pisau,12.41
Gunung Mas,11.78
Barito Timur,12.83
Murung Raya,11.75
Kota Palangka Raya,14.95
KALIMANTAN SELATAN,12.68
Tanah Laut,12.01
Kotabaru,11.93
