Provinsi/Kabupaten/Kota,
,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH) (Tahun)
,2022
ACEH,70.18
Simeulue,65.48
Aceh Singkil,67.65
Aceh Selatan,64.64
Aceh Tenggara,68.48
Aceh Timur,68.94
Aceh Tengah,69.05
Aceh Barat,68.19
Aceh Besar,69.99
Pidie,67.15
Bireuen,71.48
Aceh Utara,69.01
Aceh Barat Daya,65.3
Gayo Lues,65.77
Aceh Tamiang,69.87
Nagan Raya,69.45
Aceh Jaya,67.4
Bener Meriah,69.48
Pidie Jaya,70.41
Kota Banda Aceh,71.79
Kota Sabang,70.79
Kota Langsa,69.63
Kota Lhokseumawe,71.87
Kota Subulussalam,64.3
SUMATERA UTARA,69.61
Nias,70.06
Mandailing Natal,63.05
Tapanuli Selatan,65.28
Tapanuli Tengah,67.58
Tapanuli Utara,69.16
Toba Samosir / Toba,70.76
Labuhan Batu,70.37
Asahan,68.73
Simalungun,71.78
Dairi,69.64
Karo,72.03
Deli Serdang,72.07
Langkat,69.39
Nias Selatan,69.21
Humbang Hasundutan,70.02
Pakpak Bharat,66.44
Samosir,71.82
Serdang Bedagai,69.21
Batu Bara,67.55
Padang Lawas Utara,67.53
Padang Lawas,67.43
Labuhan Batu Selatan,69.16
Labuhan Batu Utara,69.91
Nias Utara,69.9
Nias Barat,69.43
Kota Sibolga,69.77
Kota Tanjung Balai,63.87
Kota Pematang Siantar,74.25
Kota Tebing Tinggi,71.29
Kota Medan,73.58
Kota Binjai,72.79
Kota Padangsidimpuan,69.84
Kota Gunungsitoli,71.71
SUMATERA BARAT,69.9
Kepulauan Mentawai,64.93
Pesisir Selatan,71.25
Solok,69.19
Sijunjung,66.7
Tanah Datar,70.49
Padang Pariaman,69.34
Agam,72.89
Lima Puluh Kota,70.08
Pasaman,67.96
Solok Selatan,68.38
Dharmasraya,71.9
Pasaman Barat,68.25
Kota Padang,73.93
Kota Solok,74.06
Kota Sawah Lunto,70.4
Kota Padang Panjang,73.02
Kota Bukittinggi,74.82
Kota Payakumbuh,74.14
Kota Pariaman,70.67
RIAU,71.95
Kuantan Singingi,68.87
Indragiri Hulu,70.48
Indragiri Hilir,68.31
Pelalawan,71.53
Siak,71.37
Kampar,71.12
Rokan Hulu,70.51
Bengkalis,71.5
Rokan Hilir,70.69
Kepulauan Meranti,68.09
Kota Pekanbaru,72.7
Kota Dumai,71.25
JAMBI,71.5
Kerinci,70.28
Merangin,71.53
Sarolangun,69.46
Batang Hari,70.93
Muaro Jambi,71.58
Tanjung Jabung Timur,66.66
Tanjung Jabung Barat,68.43
Tebo,70.26
Bungo,68.13
Kota Jambi,72.99
Kota Sungai Penuh,72.53
SUMATERA SELATAN,70.32
Ogan Komering Ulu,68.55
Ogan Komering Ilir,69.01
Muara Enim,69.38
Lahat,66.52
Musi Rawas,68.62
Musi Banyuasin,69.19
Banyu Asin,69.43
Ogan Komering Ulu Selatan,67.36
Ogan Komering Ulu Timur,69.48
Ogan Ilir,65.98
Empat Lawang,65.45
Penukal Abab Lematang Ilir,68.65
Musi Rawas Utara,66.08
Kota Palembang,71.49
Kota Prabumulih,70.87
Kota Pagar Alam,67.29
Kota Lubuklinggau,69.82
BENGKULU,69.69
Bengkulu Selatan,68.15
Rejang Lebong,69
Bengkulu Utara,68.53
Kaur,67.01
Seluma,68.13
Mukomuko,67
Lebong,63.68
Kepahiang,68.28
Bengkulu Tengah,68.37
Kota Bengkulu,70.46
LAMPUNG,70.99
Lampung Barat,67.9
Tanggamus,68.95
Lampung Selatan,69.69
Lampung Timur,71.01
Lampung Tengah,70.08
Lampung Utara,69.57
Way Kanan,69.69
Tulangbawang,70.22
Pesawaran,69.44
Pringsewu,70.65
Mesuji,68.51
Tulang Bawang Barat,70.23
Pesisir Barat,63.99
Kota Bandar Lampung,71.66
Kota Metro,71.88
KEP. BANGKA BELITUNG,70.98
Bangka,71.37
Belitung,71.31
Bangka Barat,70.25
Bangka Tengah,71.82
Bangka Selatan,68.68
Belitung Timur,72.33
Kota Pangkal Pinang,73.68
KEPULAUAN RIAU,70.5
Karimun,71.53
Bintan,70.76
Natuna,65.76
Lingga,62.92
Kepulauan Anambas,67.73
Kota Batam,73.62
Kota Tanjung Pinang,72.49
DKI JAKARTA,73.32
Kep. Seribu,69.2
